epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.172,1.19802,1.46556,1.20622,0.91827,0.9077,0.94876,0.6183,1.24947,1.26226,1.35243,0.000475516,0.000475516,0.000475516
2,221.56,1.17871,0.97517,1.23885,0.90894,0.88781,0.93381,0.60118,1.34799,1.04013,1.42833,0.000920439,0.000920439,0.000920439
3,383.675,1.15647,0.84831,1.23092,0.88183,0.90806,0.93216,0.62547,1.25053,0.89724,1.37834,0.00133392,0.00133392,0.00133392
4,518.045,1.14902,0.79521,1.22624,0.89375,0.91124,0.93723,0.62354,1.26729,0.77179,1.43032,0.00128753,0.00128753,0.00128753
5,619.951,1.11568,0.74787,1.21307,0.89205,0.94075,0.93159,0.63543,1.25769,0.72729,1.36414,0.00124037,0.00124037,0.00124037
6,723.069,1.09348,0.69839,1.20563,0.91031,0.956,0.95698,0.66177,1.22862,0.68881,1.33931,0.00119322,0.00119322,0.00119322
7,825.073,1.07341,0.68509,1.19606,0.91479,0.94383,0.94984,0.65033,1.27714,0.69665,1.4187,0.00114606,0.00114606,0.00114606
8,928.052,1.06265,0.66216,1.18558,0.91976,0.92375,0.95668,0.66154,1.21104,0.65829,1.3506,0.0010989,0.0010989,0.0010989
9,1030.97,1.05545,0.64225,1.18453,0.92341,0.94938,0.96168,0.67539,1.2089,0.69822,1.34085,0.00105174,0.00105174,0.00105174
10,1133.05,1.03381,0.63565,1.17515,0.93709,0.93041,0.95173,0.66601,1.1813,0.61275,1.3543,0.00100459,0.00100459,0.00100459
11,1238.48,1.02278,0.61613,1.16871,0.92644,0.96583,0.9671,0.67354,1.22007,0.63971,1.33719,0.00095743,0.00095743,0.00095743
12,1342.14,1.01207,0.59549,1.16435,0.95443,0.94642,0.97554,0.68971,1.22924,0.59302,1.38952,0.000910273,0.000910273,0.000910273
13,1445.88,0.9996,0.58486,1.15348,0.91595,0.93742,0.96274,0.67135,1.25033,0.58369,1.40669,0.000863116,0.000863116,0.000863116
14,1548.95,0.98558,0.57373,1.15323,0.9413,0.96507,0.96856,0.67878,1.24359,0.56339,1.39109,0.000815959,0.000815959,0.000815959
15,1653.5,0.9747,0.56181,1.14946,0.92635,0.94991,0.96215,0.67528,1.23983,0.60748,1.3994,0.000768802,0.000768802,0.000768802
16,1758.45,0.96309,0.54734,1.13715,0.91959,0.95975,0.96471,0.67954,1.22627,0.55776,1.41045,0.000721645,0.000721645,0.000721645
17,1863.85,0.96629,0.54217,1.14506,0.93501,0.94601,0.96312,0.66489,1.2412,0.56791,1.39363,0.000674488,0.000674488,0.000674488
18,1966.1,0.94557,0.52706,1.13396,0.93361,0.94081,0.96354,0.67883,1.19731,0.54699,1.36432,0.000627331,0.000627331,0.000627331
19,2068.81,0.94038,0.53021,1.1314,0.93255,0.95753,0.97194,0.67801,1.25545,0.56549,1.40542,0.000580174,0.000580174,0.000580174
20,2171.82,0.9229,0.50665,1.11723,0.9342,0.94722,0.97181,0.6916,1.21835,0.54195,1.40246,0.000533017,0.000533017,0.000533017
21,2269.39,0.88201,0.44143,1.13541,0.93706,0.93428,0.96537,0.67832,1.18624,0.54577,1.3862,0.00048586,0.00048586,0.00048586
22,2365.74,0.87087,0.4273,1.13091,0.94575,0.95137,0.97008,0.67955,1.21986,0.54371,1.41074,0.000438703,0.000438703,0.000438703
23,2461.99,0.85312,0.41268,1.12016,0.94881,0.93647,0.96986,0.68297,1.20633,0.52912,1.41338,0.000391546,0.000391546,0.000391546
24,2557.82,0.83417,0.40733,1.10126,0.95729,0.94367,0.97398,0.68538,1.22171,0.53249,1.43216,0.000344389,0.000344389,0.000344389
25,2655.03,0.81596,0.38749,1.09062,0.93414,0.94732,0.96005,0.67599,1.20753,0.52625,1.42169,0.000297232,0.000297232,0.000297232
26,2753.41,0.80197,0.38097,1.08629,0.94536,0.95829,0.97074,0.69104,1.22279,0.50957,1.43982,0.000250075,0.000250075,0.000250075
27,2850.42,0.78518,0.3692,1.07577,0.93091,0.93408,0.96581,0.68726,1.235,0.52382,1.46928,0.000202918,0.000202918,0.000202918
28,2946.4,0.76347,0.35508,1.05758,0.94559,0.93919,0.97187,0.6862,1.219,0.52456,1.4555,0.000155761,0.000155761,0.000155761
29,3042.26,0.74974,0.34817,1.05569,0.94299,0.94399,0.97173,0.68747,1.2126,0.51878,1.46404,0.000108604,0.000108604,0.000108604
30,3140.13,0.73839,0.34406,1.0469,0.94987,0.94553,0.9725,0.69318,1.22482,0.52139,1.48771,6.1447e-05,6.1447e-05,6.1447e-05
